Text,Sentiment,User
"Trump poll numbers are the highest since election, despite constant phony Witch Hunts! Tens of thousands of people… https://t.co/25ev8DpG1L",0,realDonaldTrump
"Congratulations to @loudobbs, Number One. Lou has shown the Fake News what happens when you cover “America’s Greate… https://t.co/rOwyKf4Cox",0,realDonaldTrump
"No matter what you give to the Democrats, in the end, they will NEVER be satisfied. In the House, they gave us NOTHING!",0,realDonaldTrump
Democrats = 17 Witnesses. Republicans = 0 Witnesses.,0,realDonaldTrump
"The Radical Left, Do Nothing Democrats keep chanting “fairness”, when they put on the most unfair Witch Hunt in the… https://t.co/AeTbvREzHK",0,realDonaldTrump
"RT @WhiteHouse: ""I am concerned about lowering impeachment standards to fit a paucity of evidence and an abundance of anger."" — Jonathan Tu…",0,realDonaldTrump
"RT @WhiteHouse: President @realDonaldTrump is celebrating USMCA in Michigan this afternoon!

Watch LIVE at 4:20 p.m. ET: https://t.co/Emsdc…",0,realDonaldTrump
"RT @realDonaldTrump: Working closely with China and others on Coronavirus outbreak. Only 5 people in U.S., all in good recovery.",0,realDonaldTrump
"RT @WhiteHouse: 17 witnesses—picked by Democrats—have already testified.

But if Democrats want more, here are some suggestions ⬇️ https://…",0,realDonaldTrump
"RT @WhiteHouse: ""We just ended a nightmare known as NAFTA."" https://t.co/1eju47ElBI",0,realDonaldTrump
"RT @WhiteHouse: Our nation boasts a proud legacy in the auto industry. 

USMCA is a BIG WIN for American automakers! https://t.co/QKe8MXQwdS",0,realDonaldTrump
"RT @WhiteHouse: President @realDonaldTrump's policies are making it possible for hardworking Americans to find jobs, develop meaningful car…",0,realDonaldTrump
"RT @WhiteHouse: The first partisan impeachment in U.S. history hasn’t been short on distractions, misleading statements, and even outright…",0,realDonaldTrump
"RT @WhiteHouse: Pro-worker.
Pro-growth.
Pro-jobs.
Pro-America. 🇺🇸 https://t.co/GyopaUaFXH",0,realDonaldTrump
Incredible numbers! https://t.co/wWpSA87qfw,0,realDonaldTrump
"RT @WhiteHouse: There are many questions and concerns about the alleged whistleblower and potential conflicts of interest.

Democrats aren'…",0,realDonaldTrump
"RT @jabeale: Just my opinion, but it seems that this entire debacle - the lack of a legal/constitutional framework to subpoena witnesses du…",0,realDonaldTrump
"Nadler ripped final argument away from Schiff, thinks Shifty did a terrible job. They are fighting big time! https://t.co/L2qTV9pWiL",0,realDonaldTrump
THE BEST IS YET TO COME! https://t.co/SOn6wRV9Zs,0,realDonaldTrump
"Americans across the political spectrum are disgusted by the Washington Democrats’ Partisan Hoaxes, Witch Hunts, &amp;… https://t.co/EzixTZFe6g",0,realDonaldTrump
Washington Dems have spent the last 3 years trying to overturn the last election – and we will make sure they face… https://t.co/zu2XoLyzKU,0,realDonaldTrump
"To keep America Safe, we have fully rebuilt the U.S. Military – it is now stronger, more powerful, and more lethal… https://t.co/nPlw39ZB4T",0,realDonaldTrump
"This November, we are going to defeat the Radical Socialist Democrats and win the Great State of Iowa in a Historic… https://t.co/EJSNBk41i1",0,realDonaldTrump
"Thank you Iowa, I love you! 
https://t.co/zooBXErdcV",0,realDonaldTrump
"Great poll in Iowa, where I just landed for a Big Rally! #KAG2020🇺🇸 https://t.co/4YCo01XYCn",0,realDonaldTrump
"RT @JaapTitulaer: @paulsperry_ Can't violate the Logan Act when you're working for the president or acting at his request. 

Logan Act was…",0,realDonaldTrump
"RT @alx: CNN's John King: ""Republicans make a good point. The Whistleblower started all this. Why has the Whistleblower never been question…",0,realDonaldTrump
"RT @paulsperry_: BREAKING: The 1 witness transcript Schiff won't release (out of 18) talks about Schiff and the ""whistleblower""--and how th…",0,realDonaldTrump
"RT @EliseStefanik: There is one transcript that Adam Schiff refuses to release.

The Intelligence Community Inspector General transcript.…",0,realDonaldTrump
RT @RandPaul: My question today is about whether or not individuals who were holdovers from the Obama National Security Council and Democra…,0,realDonaldTrump
